WPSNR,FilePath,AttackSequence
53.008661997323586,output\trentinowarriors\tree\ACME_trentinowarriors_tree_7_1762162503887080500.bmp,JPEG (quality=62)
53.008661997323586,output\trentinowarriors\tree\ACME_trentinowarriors_tree_0_1762162510976741200.bmp,JPEG (quality=62)
53.008661997323586,output\trentinowarriors\tree\ACME_trentinowarriors_tree_12_1762162516187539900.bmp,JPEG (quality=62)
52.87050653480037,output\trentinowarriors\tree\ACME_trentinowarriors_tree_8_1762162491261288500.bmp,JPEG (quality=61)
52.87050653480037,output\trentinowarriors\tree\ACME_trentinowarriors_tree_15_1762162532336834300.bmp,JPEG (quality=61)
