WPSNR,FilePath,AttackSequence
51.977343516144714,output\trentinowarriors\buildings\ACME_trentinowarriors_buildings_14_1762163244206897900.bmp,JPEG (quality=55) | JPEG (quality=89)
51.08713051902531,output\trentinowarriors\buildings\ACME_trentinowarriors_buildings_12_1762163194626327400.bmp,JPEG (quality=48)
50.869952165178674,output\trentinowarriors\buildings\ACME_trentinowarriors_buildings_18_1762163209007448700.bmp,JPEG (quality=47)
50.869952165178674,output\trentinowarriors\buildings\ACME_trentinowarriors_buildings_17_1762163221178888700.bmp,JPEG (quality=47)
49.99942183099989,output\trentinowarriors\buildings\ACME_trentinowarriors_buildings_13_1762163197154402100.bmp,RESIZE (scale=1.48)
