WPSNR,FilePath,AttackSequence
58.20332774644327,output\wadeinthewater\buildings\ACME_wadeinthewater_buildings_18_1762163060876079000.bmp,JPEG (quality=79)
58.20332774644327,output\wadeinthewater\buildings\ACME_wadeinthewater_buildings_4_1762163111651616800.bmp,JPEG (quality=79)
58.049360304532755,output\wadeinthewater\buildings\ACME_wadeinthewater_buildings_18_1762163081991097700.bmp,JPEG (quality=78)
58.049360304532755,output\wadeinthewater\buildings\ACME_wadeinthewater_buildings_11_1762163103542004700.bmp,JPEG (quality=78)
57.62194380072237,output\wadeinthewater\buildings\ACME_wadeinthewater_buildings_19_1762163099025134500.bmp,JPEG (quality=77)
