WPSNR,FilePath,AttackSequence
51.804117174958776,output\trentinowarriors\rollercoaster\ACME_trentinowarriors_rollercoaster_7_1762162659953499200.bmp,JPEG (quality=51)
51.775070246830936,output\trentinowarriors\rollercoaster\ACME_trentinowarriors_rollercoaster_19_1762162627430561600.bmp,JPEG (quality=50)
51.77075112745407,output\trentinowarriors\rollercoaster\ACME_trentinowarriors_rollercoaster_16_1762162606077922700.bmp,JPEG (quality=49)
51.77075112745407,output\trentinowarriors\rollercoaster\ACME_trentinowarriors_rollercoaster_6_1762162613444330800.bmp,JPEG (quality=49)
51.20134655098121,output\trentinowarriors\rollercoaster\ACME_trentinowarriors_rollercoaster_4_1762162658419991100.bmp,JPEG (quality=88) | JPEG (quality=49)
