WPSNR,FilePath,AttackSequence
47.497939525807425,output\smokeonthewatermark\buildings\ACME_smokeonthewatermark_buildings_3_1762163018764793700.bmp,JPEG (quality=70) | RESIZE (scale=1.27)
47.43577956272092,output\smokeonthewatermark\buildings\ACME_smokeonthewatermark_buildings_3_1762163040390787000.bmp,RESIZE (scale=1.15)
47.358133620433314,output\smokeonthewatermark\buildings\ACME_smokeonthewatermark_buildings_4_1762163004990636000.bmp,JPEG (quality=52) | RESIZE (scale=1.39)
47.297101373741796,output\smokeonthewatermark\buildings\ACME_smokeonthewatermark_buildings_11_1762162996468545500.bmp,RESIZE (scale=1.11)
47.264498559606324,output\smokeonthewatermark\buildings\ACME_smokeonthewatermark_buildings_19_1762162996370198900.bmp,RESIZE (scale=1.09)
