WPSNR,FilePath,AttackSequence
36.50895904191784,output\theunknown\tree\ACME_theunknown_tree_11_1762164905886798700.bmp,BLUR (ksize=3) | SHARP
36.50895904191784,output\theunknown\tree\ACME_theunknown_tree_2_1762164965847945500.bmp,BLUR (ksize=3) | SHARP
36.50895904191784,output\theunknown\tree\ACME_theunknown_tree_15_1762165019317990800.bmp,BLUR (ksize=3) | SHARP
36.46433913793257,output\theunknown\tree\ACME_theunknown_tree_14_1762165011165459800.bmp,JPEG (quality=81) | BLUR (ksize=3) | SHARP
36.15457140862654,output\theunknown\tree\ACME_theunknown_tree_18_1762164985224328700.bmp,RESIZE (scale=1.42) | RESIZE (scale=1.21) | JPEG (quality=74) | SHARP
