WPSNR,FilePath,AttackSequence
46.51524426584306,output\crispymcmark\rollercoaster\ACME_crispymcmark_rollercoaster_6_1762162838926143300.bmp,RESIZE (scale=0.95)
46.41231184172359,output\crispymcmark\rollercoaster\ACME_crispymcmark_rollercoaster_8_1762162852647990200.bmp,RESIZE (scale=0.94)
46.01574978237672,output\crispymcmark\rollercoaster\ACME_crispymcmark_rollercoaster_17_1762162829308683600.bmp,RESIZE (scale=0.91)
45.959465399107216,output\crispymcmark\rollercoaster\ACME_crispymcmark_rollercoaster_9_1762162813699846700.bmp,RESIZE (scale=1.00)
45.959465399107216,output\crispymcmark\rollercoaster\ACME_crispymcmark_rollercoaster_0_1762162820726345300.bmp,RESIZE (scale=1.00)
